frame,x,y,id
1,1220.38,388.72,0
1,829.87,415.52,1
1,1352.47,518.57,2
1,695.42,590.11,3
1,1036.32,650.56,4
1,1474.47,700.6,5
1,1421.07,716.88,6
1,878.24,741.7,7
1,1116.17,810.26,8
1,1288.86,941.27,9
1,647.19,947.52,10
1,1162.08,979.41,11
1,1023.64,1013.58,12
1,1369.48,1123.22,13
1,587.76,1132.96,14
1,1350.86,1160.73,15
1,1497.11,1192.86,16
1,681.6,1259.35,17
1,729.4,1271.62,18
1,557.62,1316.47,19
1,1368.03,1347.04,20
1,816.06,1353.12,21
1,324.47,1432.09,22
1,1621.05,1498.26,23
1,962.88,1526.12,24
1,631.07,1556.85,25
1,796.13,1624.94,26
1,1363.58,1629.06,27
1,1066.54,1699.67,28
1,938.61,1842.15,29
2,1219.95,388.79,0
2,830.94,415.11,1
2,1352.59,518.53,2
2,695.01,590.13,3
2,1037.19,651.7,4
2,1474.4,700.7,5
2,1421.46,717.1,6
2,878.36,741.73,7
2,1115.82,810.51,8
2,1288.63,942.64,9
2,647.34,947.89,10
2,1162.14,979.97,11
2,1024.0,1013.63,12
2,1369.5,1123.25,13
2,588.58,1132.82,14
2,1350.76,1160.51,15
2,1496.87,1192.18,16
2,681.23,1260.3,17
2,729.26,1272.26,18
2,557.57,1316.17,19
2,1367.24,1348.77,20
2,816.12,1353.19,21
2,324.85,1431.95,22
2,1621.57,1497.75,23
2,964.08,1526.37,24
2,632.77,1556.43,25
2,796.4,1624.4,26
2,1363.78,1629.08,27
2,1065.85,1698.42,28
2,938.61,1841.68,29
3,1220.1,388.76,0
3,830.86,415.15,1
3,1352.31,518.8,2
3,694.4,589.77,3
3,1037.46,651.81,4
3,1474.28,700.65,5
3,1420.93,716.83,6
3,878.28,741.62,7
3,1116.08,810.42,8
3,1288.3,943.19,9
3,647.09,949.18,10
3,1162.33,980.25,11
3,1023.74,1013.58,12
3,1369.58,1122.67,13
3,589.62,1133.18,14
3,1350.64,1160.21,15
3,1497.09,1192.27,16
3,681.06,1260.01,17
3,728.71,1271.92,18
3,557.25,1316.38,19
3,1365.85,1350.49,20
3,815.17,1353.35,21
3,325.41,1432.48,22
3,1621.21,1497.63,23
3,963.9,1526.4,24
3,632.74,1555.96,25
3,796.73,1623.35,26
3,1363.58,1628.32,27
3,1064.85,1697.43,28
3,938.48,1841.22,29
4,1219.38,388.7,0
4,830.72,415.06,1
4,1352.44,518.83,2
4,694.0,589.7,3
4,1038.21,652.21,4
4,1473.33,700.97,5
4,1421.24,716.92,6
4,878.45,741.61,7
4,1115.87,810.57,8
4,1288.18,944.24,9
4,647.14,950.21,10
4,1162.18,980.84,11
4,1023.44,1013.75,12
4,1369.41,1122.48,13
4,590.78,1133.53,14
4,1350.78,1160.71,15
4,1496.9,1190.78,16
4,681.2,1260.15,17
4,728.47,1272.39,18
4,557.74,1316.13,19
4,1364.72,1352.1,20
4,815.99,1353.27,21
4,325.5,1432.32,22
4,1621.18,1498.14,23
4,965.37,1526.87,24
4,632.58,1556.36,25
4,796.9,1622.45,26
4,1363.76,1628.11,27
4,1064.52,1696.27,28
4,938.6,1841.02,29
5,1219.7,388.58,0
5,830.36,415.35,1
5,1352.4,518.46,2
5,694.36,589.7,3
5,1038.48,653.06,4
5,1473.22,701.0,5
5,1420.61,716.98,6
5,878.93,741.24,7
5,1116.28,810.65,8
5,1287.75,944.87,9
5,647.17,951.19,10
5,1162.82,981.5,11
5,1023.33,1013.94,12
5,1369.24,1122.11,13
5,591.28,1133.6,14
5,1350.45,1159.9,15
5,1496.91,1191.09,16
5,681.12,1259.95,17
5,728.61,1272.57,18
5,557.03,1316.33,19
5,1363.87,1353.02,20
5,815.98,1353.29,21
5,325.92,1432.55,22
5,1621.57,1497.83,23
5,965.19,1526.36,24
5,633.23,1555.99,25
5,797.54,1621.39,26
5,1364.05,1628.53,27
5,1063.88,1695.52,28
5,938.83,1840.83,29
6,1218.61,388.92,0
6,829.99,415.46,1
6,1352.21,518.52,2
6,693.34,589.62,3
6,1038.84,653.37,4
6,1473.99,700.63,5
6,1420.67,717.03,6
6,879.58,740.62,7
6,1115.62,810.44,8
6,1287.54,945.34,9
6,647.11,951.67,10
6,1162.55,981.36,11
6,1023.63,1013.82,12
6,1369.26,1122.3,13
6,592.67,1133.42,14
6,1349.96,1159.54,15
6,1496.87,1190.65,16
6,681.46,1259.96,17
6,728.67,1272.15,18
6,557.49,1316.4,19
6,1362.88,1354.05,20
6,816.02,1353.13,21
6,326.68,1432.97,22
6,1621.62,1497.67,23
6,965.91,1526.73,24
6,633.32,1555.82,25
6,797.62,1620.97,26
6,1363.54,1628.49,27
6,1063.04,1693.9,28
6,938.68,1840.31,29
7,1217.9,388.58,0
7,829.02,415.89,1
7,1352.45,517.85,2
7,692.54,589.39,3
7,1039.27,654.37,4
7,1473.22,700.84,5
7,1420.6,716.9,6
7,879.04,740.98,7
7,1116.22,810.6,8
7,1287.1,946.2,9
7,646.88,952.74,10
7,1162.75,982.05,11
7,1023.13,1014.12,12
7,1369.38,1121.76,13
7,593.5,1133.78,14
7,1349.89,1159.34,15
7,1496.89,1190.83,16
7,681.6,1260.19,17
7,728.42,1272.45,18
7,557.34,1316.29,19
7,1362.03,1355.68,20
7,816.35,1353.07,21
7,326.73,1433.02,22
7,1621.57,1497.78,23
7,965.94,1526.87,24
7,633.06,1556.09,25
7,797.88,1620.63,26
7,1364.16,1626.98,27
7,1062.81,1692.58,28
7,939.07,1839.23,29
8,1216.78,388.61,0
8,828.54,416.18,1
8,1352.32,517.81,2
8,692.04,589.35,3
8,1039.57,655.22,4
8,1473.74,700.65,5
8,1420.72,716.72,6
8,879.78,740.47,7
8,1115.7,810.35,8
8,1286.51,946.69,9
8,646.95,953.8,10
8,1162.89,982.42,11
8,1022.34,1014.38,12
8,1369.29,1121.74,13
8,594.64,1133.91,14
8,1349.28,1158.59,15
8,1496.67,1190.26,16
8,681.06,1259.83,17
8,728.37,1272.52,18
8,557.02,1316.13,19
8,1360.61,1357.34,20
8,816.22,1353.47,21
8,327.5,1433.3,22
8,1621.74,1497.6,23
8,966.4,1526.84,24
8,632.75,1556.1,25
8,798.04,1620.23,26
8,1364.48,1626.38,27
8,1062.23,1692.14,28
8,938.9,1838.87,29
9,1216.31,388.38,0
9,828.33,416.2,1
9,1352.2,517.9,2
9,691.35,589.24,3
9,1040.13,655.78,4
9,1472.59,701.15,5
9,1420.62,716.84,6
9,880.21,740.18,7
9,1115.96,810.33,8
9,1286.21,947.1,9
9,646.72,954.7,10
9,1162.65,982.34,11
9,1021.59,1014.65,12
9,1369.15,1121.8,13
9,594.77,1134.16,14
9,1349.1,1158.38,15
9,1496.57,1190.75,16
9,680.97,1260.0,17
9,728.6,1271.84,18
9,556.0,1316.19,19
9,1360.35,1357.54,20
9,816.46,1353.22,21
9,327.5,1433.44,22
9,1621.12,1497.91,23
9,966.57,1526.77,24
9,633.57,1556.05,25
9,798.19,1618.48,26
9,1364.17,1626.65,27
9,1061.88,1691.43,28
9,938.95,1838.78,29
10,1216.34,388.27,0
10,828.26,416.37,1
10,1352.41,517.82,2
10,691.38,589.1,3
10,1041.15,656.69,4
10,1472.34,701.38,5
10,1420.8,716.85,6
10,880.26,740.04,7
10,1116.04,810.39,8
10,1285.66,948.24,9
10,646.79,956.02,10
10,1163.0,982.4,11
10,1021.26,1015.1,12
10,1369.14,1121.75,13
10,595.32,1133.91,14
10,1349.77,1159.22,15
10,1496.57,1190.41,16
10,680.68,1260.26,17
10,728.44,1272.16,18
10,555.16,1316.22,19
10,1360.27,1358.05,20
10,816.88,1353.06,21
10,328.12,1433.59,22
10,1621.13,1497.85,23
10,965.86,1526.76,24
10,634.0,1555.75,25
10,798.62,1618.27,26
10,1364.66,1625.97,27
10,1061.92,1690.57,28
10,939.15,1838.48,29
11,1216.54,388.49,0
11,827.78,416.22,1
11,1352.38,517.71,2
11,690.81,588.99,3
11,1041.96,657.88,4
11,1471.29,701.78,5
11,1420.39,716.97,6
11,880.74,739.73,7
11,1115.8,810.41,8
11,1285.2,948.64,9
11,646.66,956.48,10
11,1162.96,983.25,11
11,1020.15,1015.3,12
11,1369.26,1121.67,13
11,595.14,1133.76,14
11,1349.26,1158.77,15
11,1496.34,1189.81,16
11,680.86,1260.27,17
11,728.37,1272.2,18
11,554.67,1316.4,19
11,815.84,1352.99,21
11,1360.44,1357.88,20
11,328.75,1433.5,22
11,1620.87,1498.06,23
11,967.05,1526.77,24
11,634.21,1555.75,25
11,798.62,1617.15,26
11,1365.15,1625.08,27
11,1061.61,1689.98,28
11,939.1,1837.51,29
12,1217.37,388.63,0
12,827.81,416.6,1
12,1352.51,517.78,2
12,690.98,589.08,3
12,1043.15,659.15,4
12,1471.47,701.75,5
12,1420.42,716.67,6
12,881.73,739.66,7
12,1116.17,810.36,8
12,1284.82,949.54,9
12,646.6,956.7,10
12,1163.19,983.36,11
12,1019.71,1015.61,12
12,1369.12,1121.57,13
12,595.75,1133.88,14
12,1349.66,1158.92,15
12,1496.67,1190.41,16
12,680.81,1260.41,17
12,727.78,1272.49,18
12,554.42,1316.09,19
12,816.66,1353.1,21
12,1360.38,1358.03,20
12,328.45,1433.61,22
12,1621.02,1497.83,23
12,967.84,1527.35,24
12,633.55,1555.89,25
12,799.36,1615.92,26
12,1365.5,1624.63,27
12,1061.76,1689.7,28
12,939.34,1837.26,29
13,1218.12,388.78,0
13,827.53,416.66,1
13,1352.51,517.58,2
13,691.17,589.16,3
13,1044.19,660.15,4
13,1470.99,702.17,5
13,1419.89,716.81,6
13,881.85,739.36,7
13,1115.54,810.36,8
13,1284.54,949.84,9
13,646.7,957.86,10
13,1163.08,984.0,11
13,1018.67,1015.91,12
13,1369.75,1122.35,13
13,596.08,1134.12,14
13,1349.29,1158.44,15
13,1496.52,1190.18,16
13,681.05,1260.38,17
13,728.78,1272.17,18
13,554.93,1316.2,19
13,816.04,1352.87,21
13,1360.84,1357.55,20
13,329.18,1433.75,22
13,1621.28,1497.92,23
13,968.13,1527.21,24
13,633.98,1555.85,25
13,799.59,1615.11,26
13,1366.58,1623.58,27
13,1061.36,1689.16,28
13,939.51,1836.17,29
14,1219.28,388.71,0
14,827.45,416.55,1
14,1352.46,517.42,2
14,690.81,589.09,3
14,1045.36,661.3,4
14,1470.57,702.4,5
14,1420.06,716.85,6
14,882.78,739.1,7
14,1115.79,810.37,8
14,1284.32,950.44,9
14,646.92,958.32,10
14,1163.74,984.91,11
14,1017.95,1016.04,12
14,1369.8,1122.44,13
14,596.79,1134.2,14
14,1349.35,1158.36,15
14,1496.7,1190.44,16
14,680.91,1260.61,17
14,729.3,1271.19,18
14,554.6,1316.3,19
14,815.87,1353.23,21
14,1360.53,1357.87,20
14,329.26,1433.79,22
14,1620.24,1498.5,23
14,968.58,1527.51,24
14,634.44,1555.8,25
14,798.85,1617.71,26
14,1366.84,1622.7,27
14,1061.4,1689.46,28
14,939.36,1836.73,29
15,1217.75,388.95,0
15,827.2,416.52,1
15,1352.55,517.45,2
15,690.52,589.19,3
15,1045.65,663.04,4
15,1470.06,702.55,5
15,1419.64,717.15,6
15,882.61,739.1,7
15,1115.96,810.47,8
15,1284.4,950.27,9
15,646.72,959.22,10
15,1164.18,985.94,11
15,1018.63,1016.07,12
15,1370.0,1122.76,13
15,596.89,1134.21,14
15,1349.99,1158.91,15
15,1497.18,1191.2,16
15,680.98,1260.32,17
15,730.11,1270.92,18
15,554.44,1316.38,19
15,1360.64,1357.61,20
15,815.6,1353.08,21
15,329.53,1433.69,22
15,1620.18,1498.55,23
